Question_Number,Review_Type,Category,Question_ID,Question,Description,Question_Type,Options,ASVS_Reference,OWASP_Reference,Risk_Level,Priority
APPLICATION_REVIEW-AUTHORIZATION-001,Application Security Review,Authorization (Access Control) - OWASP A5,authz_1,How does your application enforce role-based access control (RBAC)?,RBAC ensures users only access authorized resources,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AUTHORIZATION-002,Application Security Review,Authorization (Access Control) - OWASP A5,authz_2,Are authorization checks performed on every request?,Consistent authorization prevents privilege escalation,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AUTHORIZATION-003,Application Security Review,Authorization (Access Control) - OWASP A5,authz_3,Is the principle of least privilege applied to user permissions?,Minimal necessary permissions reduce attack surface,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AUTHORIZATION-004,Application Security Review,Authorization (Access Control) - OWASP A5,authz_4,Are indirect object references protected against unauthorized access?,Prevents users from accessing resources through URL manipulation,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AUTHORIZATION-005,Application Security Review,Authorization (Access Control) - OWASP A5,authz_5,Is privilege escalation prevention implemented in the application?,Prevents users from gaining higher privileges than authorized,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-CONFIGURATION_MANAGEMENT-001,Application Security Review,Configuration Management - OWASP A6,config_1,How are security configurations managed and hardened?,Proper configuration prevents common security misconfigurations,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-CONFIGURATION_MANAGEMENT-002,Application Security Review,Configuration Management - OWASP A6,config_2,Are default credentials changed and unnecessary services disabled?,Removing defaults reduces attack surface,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-CONFIGURATION_MANAGEMENT-003,Application Security Review,Configuration Management - OWASP A6,config_3,Is security configuration testing automated?,Automated testing ensures consistent security configuration,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-CONFIGURATION_MANAGEMENT-004,Application Security Review,Configuration Management - OWASP A6,config_4,"Are security headers properly configured (HSTS, CSP, X-Frame-Options)?",Security headers provide protection against common web attacks,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-CONFIGURATION_MANAGEMENT-005,Application Security Review,Configuration Management - OWASP A6,config_5,Is environment separation properly implemented (dev/test/prod)?,Environment separation prevents production data exposure in lower environments,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-SENSITIVE_DATA-001,Application Security Review,Sensitive Data - OWASP A3,data_1,How is personally identifiable information (PII) protected?,PII protection ensures privacy compliance and prevents identity theft,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-SENSITIVE_DATA-002,Application Security Review,Sensitive Data - OWASP A3,data_2,Is data classification implemented with appropriate controls?,Data classification ensures appropriate protection levels,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-SENSITIVE_DATA-003,Application Security Review,Sensitive Data - OWASP A3,data_3,Are secure data deletion procedures implemented?,Secure deletion prevents data recovery by unauthorized parties,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-SENSITIVE_DATA-004,Application Security Review,Sensitive Data - OWASP A3,data_4,Is sensitive data masked or tokenized in non-production environments?,Data masking prevents exposure of sensitive information in development/testing,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-SENSITIVE_DATA-005,Application Security Review,Sensitive Data - OWASP A3,data_5,Are data retention policies implemented and enforced?,Data retention policies ensure compliance and minimize data exposure,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-SESSION_MANAGEMENT-001,Application Security Review,Session Management - OWASP A5,session_1,How are user sessions securely managed and validated?,Secure session management prevents session hijacking,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-SESSION_MANAGEMENT-002,Application Security Review,Session Management - OWASP A5,session_2,Are session timeouts implemented for inactive sessions?,Session timeouts reduce exposure of abandoned sessions,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-SESSION_MANAGEMENT-003,Application Security Review,Session Management - OWASP A5,session_3,Is session regeneration implemented after authentication?,Session regeneration prevents session fixation attacks,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-SESSION_MANAGEMENT-004,Application Security Review,Session Management - OWASP A5,session_4,"Are session cookies configured with secure attributes (HttpOnly, Secure, SameSite)?",Secure cookie attributes protect against XSS and CSRF attacks,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-SESSION_MANAGEMENT-005,Application Security Review,Session Management - OWASP A5,session_5,Is concurrent session management implemented to prevent session sharing?,Concurrent session controls prevent unauthorized session sharing,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-DATABASE_SECURITY-001,Application Security Review,Database Security,db_1,Are database connections encrypted and using strong authentication?,Encrypted database connections protect data in transit,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-DATABASE_SECURITY-002,Application Security Review,Database Security,db_2,Is database access logging and monitoring implemented?,Database monitoring detects unauthorized access and data manipulation,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-DATABASE_SECURITY-003,Application Security Review,Database Security,db_3,Are database privileges minimized using principle of least privilege?,Minimal database privileges reduce impact of compromise,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-DATABASE_SECURITY-004,Application Security Review,Database Security,db_4,Is database backup security and encryption implemented?,Secure backups protect against data loss and unauthorized access,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-DATABASE_SECURITY-005,Application Security Review,Database Security,db_5,Are database security patches and updates regularly applied?,Regular patching prevents exploitation of known database vulnerabilities,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-FILE_MANAGEMENT-001,Application Security Review,File Management,file_1,"Are file upload validations implemented (type, size, content)?",File validation prevents malicious file uploads and system compromise,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-FILE_MANAGEMENT-002,Application Security Review,File Management,file_2,Is file storage implemented outside of web root directory?,Secure file storage prevents direct web access to uploaded files,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-FILE_MANAGEMENT-003,Application Security Review,File Management,file_3,Are file permissions properly configured and restricted?,Proper file permissions prevent unauthorized access and modification,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-FILE_MANAGEMENT-004,Application Security Review,File Management,file_4,Is antivirus scanning implemented for uploaded files?,Antivirus scanning detects and prevents malware uploads,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-FILE_MANAGEMENT-005,Application Security Review,File Management,file_5,Are temporary files securely managed and cleaned up?,Secure temp file management prevents information disclosure,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-EXCEPTION_MANAGEMENT-001,Application Security Review,Exception Management - OWASP A3,error_1,How does your application handle and log security-relevant events?,Proper logging enables security monitoring and incident response,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-EXCEPTION_MANAGEMENT-002,Application Security Review,Exception Management - OWASP A3,error_2,Are error messages sanitized to prevent information disclosure?,Generic error messages prevent information leakage,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-EXCEPTION_MANAGEMENT-003,Application Security Review,Exception Management - OWASP A3,error_3,Is centralized logging implemented with proper retention policies?,Centralized logging supports security monitoring and compliance,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-EXCEPTION_MANAGEMENT-004,Application Security Review,Exception Management - OWASP A3,error_4,Are exception stack traces prevented from reaching end users?,Hidden stack traces prevent system information disclosure,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-EXCEPTION_MANAGEMENT-005,Application Security Review,Exception Management - OWASP A3,error_5,Is security event correlation and alerting implemented?,Event correlation enables detection of security incidents,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-CRYPTOGRAPHY-001,Application Security Review,Cryptography - OWASP A3,crypto_1,How is sensitive data encrypted at rest and in transit?,Encryption protects sensitive data from unauthorized access,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-CRYPTOGRAPHY-002,Application Security Review,Cryptography - OWASP A3,crypto_2,Are cryptographic keys properly managed and rotated?,Proper key management maintains encryption effectiveness,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-CRYPTOGRAPHY-003,Application Security Review,Cryptography - OWASP A3,crypto_3,"Are strong, approved cryptographic algorithms used?",Modern algorithms provide adequate security protection,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-CRYPTOGRAPHY-004,Application Security Review,Cryptography - OWASP A3,crypto_4,Is secure random number generation implemented for cryptographic operations?,Secure randomness ensures cryptographic strength,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-CRYPTOGRAPHY-005,Application Security Review,Cryptography - OWASP A3,crypto_5,Are digital signatures and integrity checks implemented where required?,Digital signatures ensure data authenticity and integrity,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AUDITING_LOGGING-001,Application Security Review,Auditing and Logging - OWASP A10,audit_1,Are all security-relevant events logged with sufficient detail?,Comprehensive logging enables security incident investigation,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AUDITING_LOGGING-002,Application Security Review,Auditing and Logging - OWASP A10,audit_2,Is log integrity protection implemented to prevent tampering?,Log integrity ensures audit trail reliability,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AUDITING_LOGGING-003,Application Security Review,Auditing and Logging - OWASP A10,audit_3,Are logs centralized and securely stored with proper access controls?,Centralized secure logging prevents unauthorized access to audit data,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AUDITING_LOGGING-004,Application Security Review,Auditing and Logging - OWASP A10,audit_4,Is real-time security monitoring and alerting implemented?,Real-time monitoring enables rapid incident response,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AUDITING_LOGGING-005,Application Security Review,Auditing and Logging - OWASP A10,audit_5,Are log analysis and forensic capabilities implemented?,Log analysis supports security investigation and compliance,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-DATA_PROTECTION-001,Application Security Review,Data Protection - OWASP A6,vuln_1,How are security vulnerabilities identified and remediated?,Vulnerability management prevents exploitation of known security flaws,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-DATA_PROTECTION-002,Application Security Review,Data Protection - OWASP A6,vuln_2,Are third-party components regularly updated and patched?,Updated components prevent exploitation of known vulnerabilities,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-DATA_PROTECTION-003,Application Security Review,Data Protection - OWASP A6,vuln_3,Is vulnerability scanning automated and regularly performed?,Regular scanning identifies new vulnerabilities quickly,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-DATA_PROTECTION-004,Application Security Review,Data Protection - OWASP A6,vuln_4,Is software composition analysis implemented to track dependencies?,Dependency tracking identifies vulnerable components,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-DATA_PROTECTION-005,Application Security Review,Data Protection - OWASP A6,vuln_5,Are penetration testing and security assessments regularly conducted?,Security testing identifies vulnerabilities before attackers,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-BUSINESS_LOGIC-001,Application Security Review,Business Logic Security - ASVS V4.1,business_1,Are business logic workflows protected against manipulation and bypass?,Business logic protection prevents workflow manipulation and unauthorized state changes,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-BUSINESS_LOGIC-002,Application Security Review,Business Logic Security - ASVS V4.1,business_2,Is data integrity validation implemented for critical business operations?,Data integrity validation prevents business logic bypass and data corruption,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-BUSINESS_LOGIC-003,Application Security Review,Business Logic Security - ASVS V4.1,business_3,Are business rules enforced consistently across all application layers?,Consistent rule enforcement prevents business logic vulnerabilities,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-BUSINESS_LOGIC-004,Application Security Review,Business Logic Security - ASVS V4.1,business_4,Is transaction atomicity and consistency maintained for critical operations?,Transaction integrity prevents partial state corruption and business logic bypass,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-BUSINESS_LOGIC-005,Application Security Review,Business Logic Security - ASVS V4.1,business_5,Are business logic errors handled securely without information disclosure?,Secure error handling prevents business logic information leakage,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AI_SECURITY-001,Application Security Review,AI Security,ai_1,Are AI/ML models protected against adversarial attacks and data poisoning?,AI security prevents model manipulation and malicious training data,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AI_SECURITY-002,Application Security Review,AI Security,ai_2,Is AI model access properly authenticated and authorized?,Access controls prevent unauthorized use of AI capabilities,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AI_SECURITY-003,Application Security Review,AI Security,ai_3,Are AI training data and models securely stored and protected?,Secure storage prevents intellectual property theft and data breaches,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AI_SECURITY-004,Application Security Review,AI Security,ai_4,Is AI model output validation and sanitization implemented?,Output validation prevents malicious AI-generated content,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AI_SECURITY-005,Application Security Review,AI Security,ai_5,Are AI ethics and bias prevention measures implemented?,Ethical AI prevents discriminatory and harmful automated decisions,radio,"yes, na, no",,,Medium,Medium
