Question_Number,Review_Type,Category,Question_ID,Question,Description,Question_Type,Options,ASVS_Reference,OWASP_Reference,Risk_Level,Priority
DATABASE_REVIEW-ORACLE_SECURITY-002,Database Security Review,Oracle Database Security,oracle_auth_2,Are Oracle database users created with minimal necessary privileges?,Principle of least privilege reduces attack surface,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-ORACLE_SECURITY-003,Database Security Review,Oracle Database Security,oracle_network_1,Is Oracle Net configured with encryption for client connections?,Encrypted connections protect data in transit,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-ORACLE_SECURITY-004,Database Security Review,Oracle Database Security,oracle_data_1,Is Oracle Advanced Security (OAS) implemented for data encryption?,OAS provides comprehensive data encryption capabilities,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-ORACLE_SECURITY-005,Database Security Review,Oracle Database Security,oracle_audit_1,Is Oracle audit logging enabled for security monitoring?,Audit logging helps detect security incidents,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-REDIS_SECURITY-001,Database Security Review,Redis Security,redis_auth_1,Is Redis authentication enabled with strong passwords?,Authentication prevents unauthorized access to Redis,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-REDIS_SECURITY-002,Database Security Review,Redis Security,redis_network_1,Is Redis configured to bind only to required network interfaces?,Network binding limits exposure to authorized networks,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-REDIS_SECURITY-003,Database Security Review,Redis Security,redis_data_1,Is Redis configured with data persistence and backup strategies?,Data persistence ensures data availability and recovery,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-REDIS_SECURITY-004,Database Security Review,Redis Security,redis_config_1,Are Redis security configurations hardened (disable dangerous commands)?,Hardened configuration prevents command injection attacks,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-CASSANDRA_SECURITY-001,Database Security Review,Cassandra Security,cassandra_auth_1,Is Cassandra authentication enabled with proper user management?,Authentication prevents unauthorized access to Cassandra,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-CASSANDRA_SECURITY-002,Database Security Review,Cassandra Security,cassandra_network_1,Is Cassandra configured with encrypted inter-node communication?,Encrypted communication protects data in transit between nodes,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-CASSANDRA_SECURITY-003,Database Security Review,Cassandra Security,cassandra_data_1,Is Cassandra configured with data encryption at rest?,Data encryption protects stored data from unauthorized access,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-CASSANDRA_SECURITY-004,Database Security Review,Cassandra Security,cassandra_audit_1,Is Cassandra audit logging enabled for security monitoring?,Audit logging helps detect unauthorized access and changes,radio,"yes, na, no",,,Medium,Medium
