Question_Number,Review_Type,Category,Question_ID,Question,Description,Question_Type,Options,ASVS_Reference,OWASP_Reference,Risk_Level,Priority
INFRASTRUCTURE_REVIEW-ORCHESTRATION_SECURITY-003,Infrastructure Security Review,Orchestration Security - ASVS V1.4,k8s_3,Are network policies implemented to control pod-to-pod communication?,Network policies provide micro-segmentation and reduce lateral movement,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-ORCHESTRATION_SECURITY-004,Infrastructure Security Review,Orchestration Security - ASVS V1.4,k8s_4,Is Pod Security Standards (PSS) or Pod Security Policies (PSP) enforced?,Pod security policies prevent privileged containers and enforce security constraints,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-ORCHESTRATION_SECURITY-005,Infrastructure Security Review,Orchestration Security - ASVS V1.4,k8s_5,Are admission controllers configured for security validation?,Admission controllers enforce security policies at deployment time,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-ORCHESTRATION_SECURITY-006,Infrastructure Security Review,Orchestration Security - ASVS V1.4,k8s_6,Is Kubernetes API server properly secured and authenticated?,API server security prevents unauthorized cluster access,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-ORCHESTRATION_SECURITY-007,Infrastructure Security Review,Orchestration Security - ASVS V1.4,k8s_7,Are Kubernetes service accounts properly managed and restricted?,Service account security prevents privilege escalation,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-ORCHESTRATION_SECURITY-008,Infrastructure Security Review,Orchestration Security - ASVS V1.4,k8s_8,Is cluster-level logging and monitoring implemented?,Cluster monitoring enables security incident detection,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-SERVICE_MESH_SECURITY-001,Infrastructure Security Review,Service Mesh Security,mesh_1,Is mTLS (mutual TLS) enabled for service-to-service communication?,mTLS provides end-to-end encryption and authentication between services,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-SERVICE_MESH_SECURITY-002,Infrastructure Security Review,Service Mesh Security,mesh_2,Are service mesh policies configured for traffic management and security?,Service mesh policies control traffic flow and enforce security rules,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-SERVICE_MESH_SECURITY-003,Infrastructure Security Review,Service Mesh Security,mesh_3,Is observability and monitoring configured for service mesh traffic?,Service mesh observability enables security monitoring and incident response,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-INFRASTRUCTURE_MONITORING-001,Infrastructure Security Review,Infrastructure Monitoring & Logging - ASVS V8.1,monitor_1,Are infrastructure logs centralized and retained for security analysis?,Centralized logging enables security monitoring and forensic analysis,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-INFRASTRUCTURE_MONITORING-002,Infrastructure Security Review,Infrastructure Monitoring & Logging - ASVS V8.1,monitor_2,Are security events and anomalies monitored in real-time?,Real-time monitoring enables rapid detection and response to security incidents,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-INFRASTRUCTURE_MONITORING-003,Infrastructure Security Review,Infrastructure Monitoring & Logging - ASVS V8.1,monitor_3,Are infrastructure metrics and health checks configured?,Infrastructure monitoring enables proactive security and performance management,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-INFRASTRUCTURE_MONITORING-004,Infrastructure Security Review,Infrastructure Monitoring & Logging - ASVS V8.1,monitor_4,Are security alerts configured for critical infrastructure events?,Security alerts enable rapid response to infrastructure threats,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-INFRASTRUCTURE_MONITORING-005,Infrastructure Security Review,Infrastructure Monitoring & Logging - ASVS V8.1,monitor_5,Is log integrity protection implemented to prevent tampering?,Log integrity ensures audit trail reliability and forensic accuracy,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-NETWORK_SECURITY-001,Infrastructure Security Review,Network Security - ASVS V1.4,network_1,Are network segmentation and micro-segmentation implemented?,Network segmentation prevents lateral movement and limits attack surface,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-NETWORK_SECURITY-002,Infrastructure Security Review,Network Security - ASVS V1.4,network_2,Are firewall rules properly configured and regularly reviewed?,Firewall rules control network traffic and prevent unauthorized access,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-NETWORK_SECURITY-003,Infrastructure Security Review,Network Security - ASVS V1.4,network_3,"Is network traffic encrypted in transit (TLS, VPN, IPSec)?",Network encryption protects data from interception and tampering,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-NETWORK_SECURITY-004,Infrastructure Security Review,Network Security - ASVS V1.4,network_4,Are DDoS protection mechanisms implemented?,DDoS protection prevents service disruption and availability attacks,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-NETWORK_SECURITY-005,Infrastructure Security Review,Network Security - ASVS V1.4,network_5,Is network monitoring and intrusion detection implemented?,Network monitoring enables detection of suspicious activities and attacks,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-INFRASTRUCTURE_HARDENING-001,Infrastructure Security Review,Infrastructure Hardening - ASVS V1.4,hardening_1,Are infrastructure components hardened against known vulnerabilities?,Infrastructure hardening reduces attack surface and prevents exploitation,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-INFRASTRUCTURE_HARDENING-002,Infrastructure Security Review,Infrastructure Hardening - ASVS V1.4,hardening_2,Are unnecessary services and ports disabled on infrastructure components?,Service minimization reduces attack surface and potential vulnerabilities,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-INFRASTRUCTURE_HARDENING-003,Infrastructure Security Review,Infrastructure Hardening - ASVS V1.4,hardening_3,Are infrastructure components regularly patched and updated?,Regular patching prevents exploitation of known vulnerabilities,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-INFRASTRUCTURE_HARDENING-004,Infrastructure Security Review,Infrastructure Hardening - ASVS V1.4,hardening_4,Are default credentials changed and strong authentication enforced?,Strong authentication prevents unauthorized access to infrastructure,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-INFRASTRUCTURE_HARDENING-005,Infrastructure Security Review,Infrastructure Hardening - ASVS V1.4,hardening_5,Are infrastructure configurations regularly audited and validated?,Configuration auditing ensures security controls remain effective,radio,"yes, na, no",,,Medium,Medium
