Question_Number,Review_Type,Category,Question_ID,Question,Description,Question_Type,Options,ASVS_Reference,OWASP_Reference,Risk_Level,Priority
APPLICATION_REVIEW-AUTHORIZATION-001,Application Security Review,Authorization (Access Control) - OWASP A5,authz_1,How does your application enforce role-based access control (RBAC)?,RBAC ensures users only access authorized resources,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AUTHORIZATION-002,Application Security Review,Authorization (Access Control) - OWASP A5,authz_2,Are authorization checks performed on every request?,Consistent authorization prevents privilege escalation,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AUTHORIZATION-003,Application Security Review,Authorization (Access Control) - OWASP A5,authz_3,Is the principle of least privilege applied to user permissions?,Minimal necessary permissions reduce attack surface,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AUTHORIZATION-004,Application Security Review,Authorization (Access Control) - OWASP A5,authz_4,Are indirect object references protected against unauthorized access?,Prevents users from accessing resources through URL manipulation,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AUTHORIZATION-005,Application Security Review,Authorization (Access Control) - OWASP A5,authz_5,Is privilege escalation prevention implemented in the application?,Prevents users from gaining higher privileges than authorized,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-CONFIGURATION_MANAGEMENT-001,Application Security Review,Configuration Management - OWASP A6,config_1,How are security configurations managed and hardened?,Proper configuration prevents common security misconfigurations,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-CONFIGURATION_MANAGEMENT-002,Application Security Review,Configuration Management - OWASP A6,config_2,Are default credentials changed and unnecessary services disabled?,Removing defaults reduces attack surface,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-CONFIGURATION_MANAGEMENT-003,Application Security Review,Configuration Management - OWASP A6,config_3,Is security configuration testing automated?,Automated testing ensures consistent security configuration,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-CONFIGURATION_MANAGEMENT-004,Application Security Review,Configuration Management - OWASP A6,config_4,"Are security headers properly configured (HSTS, CSP, X-Frame-Options)?",Security headers provide protection against common web attacks,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-CONFIGURATION_MANAGEMENT-005,Application Security Review,Configuration Management - OWASP A6,config_5,Is environment separation properly implemented (dev/test/prod)?,Environment separation prevents production data exposure in lower environments,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-SENSITIVE_DATA-001,Application Security Review,Sensitive Data - OWASP A3,data_1,How is personally identifiable information (PII) protected?,PII protection ensures privacy compliance and prevents identity theft,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-SENSITIVE_DATA-002,Application Security Review,Sensitive Data - OWASP A3,data_2,Is data classification implemented with appropriate controls?,Data classification ensures appropriate protection levels,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-SENSITIVE_DATA-003,Application Security Review,Sensitive Data - OWASP A3,data_3,Are secure data deletion procedures implemented?,Secure deletion prevents data recovery by unauthorized parties,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-SENSITIVE_DATA-004,Application Security Review,Sensitive Data - OWASP A3,data_4,Is sensitive data masked or tokenized in non-production environments?,Data masking prevents exposure of sensitive information in development/testing,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-SENSITIVE_DATA-005,Application Security Review,Sensitive Data - OWASP A3,data_5,Are data retention policies implemented and enforced?,Data retention policies ensure compliance and minimize data exposure,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-SESSION_MANAGEMENT-001,Application Security Review,Session Management - OWASP A5,session_1,How are user sessions securely managed and validated?,Secure session management prevents session hijacking,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-SESSION_MANAGEMENT-002,Application Security Review,Session Management - OWASP A5,session_2,Are session timeouts implemented for inactive sessions?,Session timeouts reduce exposure of abandoned sessions,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-SESSION_MANAGEMENT-003,Application Security Review,Session Management - OWASP A5,session_3,Is session regeneration implemented after authentication?,Session regeneration prevents session fixation attacks,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-SESSION_MANAGEMENT-004,Application Security Review,Session Management - OWASP A5,session_4,"Are session cookies configured with secure attributes (HttpOnly, Secure, SameSite)?",Secure cookie attributes protect against XSS and CSRF attacks,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-SESSION_MANAGEMENT-005,Application Security Review,Session Management - OWASP A5,session_5,Is concurrent session management implemented to prevent session sharing?,Concurrent session controls prevent unauthorized session sharing,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-DATABASE_SECURITY-001,Application Security Review,Database Security,db_1,Are database connections encrypted and using strong authentication?,Encrypted database connections protect data in transit,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-DATABASE_SECURITY-002,Application Security Review,Database Security,db_2,Is database access logging and monitoring implemented?,Database monitoring detects unauthorized access and data manipulation,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-DATABASE_SECURITY-003,Application Security Review,Database Security,db_3,Are database privileges minimized using principle of least privilege?,Minimal database privileges reduce impact of compromise,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-DATABASE_SECURITY-004,Application Security Review,Database Security,db_4,Is database backup security and encryption implemented?,Secure backups protect against data loss and unauthorized access,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-DATABASE_SECURITY-005,Application Security Review,Database Security,db_5,Are database security patches and updates regularly applied?,Regular patching prevents exploitation of known database vulnerabilities,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-FILE_MANAGEMENT-001,Application Security Review,File Management,file_1,"Are file upload validations implemented (type, size, content)?",File validation prevents malicious file uploads and system compromise,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-FILE_MANAGEMENT-002,Application Security Review,File Management,file_2,Is file storage implemented outside of web root directory?,Secure file storage prevents direct web access to uploaded files,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-FILE_MANAGEMENT-003,Application Security Review,File Management,file_3,Are file permissions properly configured and restricted?,Proper file permissions prevent unauthorized access and modification,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-FILE_MANAGEMENT-004,Application Security Review,File Management,file_4,Is antivirus scanning implemented for uploaded files?,Antivirus scanning detects and prevents malware uploads,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-FILE_MANAGEMENT-005,Application Security Review,File Management,file_5,Are temporary files securely managed and cleaned up?,Secure temp file management prevents information disclosure,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-EXCEPTION_MANAGEMENT-001,Application Security Review,Exception Management - OWASP A3,error_1,How does your application handle and log security-relevant events?,Proper logging enables security monitoring and incident response,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-EXCEPTION_MANAGEMENT-002,Application Security Review,Exception Management - OWASP A3,error_2,Are error messages sanitized to prevent information disclosure?,Generic error messages prevent information leakage,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-EXCEPTION_MANAGEMENT-003,Application Security Review,Exception Management - OWASP A3,error_3,Is centralized logging implemented with proper retention policies?,Centralized logging supports security monitoring and compliance,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-EXCEPTION_MANAGEMENT-004,Application Security Review,Exception Management - OWASP A3,error_4,Are exception stack traces prevented from reaching end users?,Hidden stack traces prevent system information disclosure,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-EXCEPTION_MANAGEMENT-005,Application Security Review,Exception Management - OWASP A3,error_5,Is security event correlation and alerting implemented?,Event correlation enables detection of security incidents,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-CRYPTOGRAPHY-001,Application Security Review,Cryptography - OWASP A3,crypto_1,How is sensitive data encrypted at rest and in transit?,Encryption protects sensitive data from unauthorized access,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-CRYPTOGRAPHY-002,Application Security Review,Cryptography - OWASP A3,crypto_2,Are cryptographic keys properly managed and rotated?,Proper key management maintains encryption effectiveness,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-CRYPTOGRAPHY-003,Application Security Review,Cryptography - OWASP A3,crypto_3,"Are strong, approved cryptographic algorithms used?",Modern algorithms provide adequate security protection,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-CRYPTOGRAPHY-004,Application Security Review,Cryptography - OWASP A3,crypto_4,Is secure random number generation implemented for cryptographic operations?,Secure randomness ensures cryptographic strength,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-CRYPTOGRAPHY-005,Application Security Review,Cryptography - OWASP A3,crypto_5,Are digital signatures and integrity checks implemented where required?,Digital signatures ensure data authenticity and integrity,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AUDITING_LOGGING-001,Application Security Review,Auditing and Logging - OWASP A10,audit_1,Are all security-relevant events logged with sufficient detail?,Comprehensive logging enables security incident investigation,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AUDITING_LOGGING-002,Application Security Review,Auditing and Logging - OWASP A10,audit_2,Is log integrity protection implemented to prevent tampering?,Log integrity ensures audit trail reliability,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AUDITING_LOGGING-003,Application Security Review,Auditing and Logging - OWASP A10,audit_3,Are logs centralized and securely stored with proper access controls?,Centralized secure logging prevents unauthorized access to audit data,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AUDITING_LOGGING-004,Application Security Review,Auditing and Logging - OWASP A10,audit_4,Is real-time security monitoring and alerting implemented?,Real-time monitoring enables rapid incident response,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AUDITING_LOGGING-005,Application Security Review,Auditing and Logging - OWASP A10,audit_5,Are log analysis and forensic capabilities implemented?,Log analysis supports security investigation and compliance,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-DATA_PROTECTION-001,Application Security Review,Data Protection - OWASP A6,vuln_1,How are security vulnerabilities identified and remediated?,Vulnerability management prevents exploitation of known security flaws,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-DATA_PROTECTION-002,Application Security Review,Data Protection - OWASP A6,vuln_2,Are third-party components regularly updated and patched?,Updated components prevent exploitation of known vulnerabilities,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-DATA_PROTECTION-003,Application Security Review,Data Protection - OWASP A6,vuln_3,Is vulnerability scanning automated and regularly performed?,Regular scanning identifies new vulnerabilities quickly,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-DATA_PROTECTION-004,Application Security Review,Data Protection - OWASP A6,vuln_4,Is software composition analysis implemented to track dependencies?,Dependency tracking identifies vulnerable components,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-DATA_PROTECTION-005,Application Security Review,Data Protection - OWASP A6,vuln_5,Are penetration testing and security assessments regularly conducted?,Security testing identifies vulnerabilities before attackers,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-BUSINESS_LOGIC-001,Application Security Review,Business Logic Security - ASVS V4.1,business_1,Are business logic workflows protected against manipulation and bypass?,Business logic protection prevents workflow manipulation and unauthorized state changes,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-BUSINESS_LOGIC-002,Application Security Review,Business Logic Security - ASVS V4.1,business_2,Is data integrity validation implemented for critical business operations?,Data integrity validation prevents business logic bypass and data corruption,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-BUSINESS_LOGIC-003,Application Security Review,Business Logic Security - ASVS V4.1,business_3,Are business rules enforced consistently across all application layers?,Consistent rule enforcement prevents business logic vulnerabilities,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-BUSINESS_LOGIC-004,Application Security Review,Business Logic Security - ASVS V4.1,business_4,Is transaction atomicity and consistency maintained for critical operations?,Transaction integrity prevents partial state corruption and business logic bypass,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-BUSINESS_LOGIC-005,Application Security Review,Business Logic Security - ASVS V4.1,business_5,Are business logic errors handled securely without information disclosure?,Secure error handling prevents business logic information leakage,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AI_SECURITY-001,Application Security Review,AI Security,ai_1,Are AI/ML models protected against adversarial attacks and data poisoning?,AI security prevents model manipulation and malicious training data,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AI_SECURITY-002,Application Security Review,AI Security,ai_2,Is AI model access properly authenticated and authorized?,Access controls prevent unauthorized use of AI capabilities,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AI_SECURITY-003,Application Security Review,AI Security,ai_3,Are AI training data and models securely stored and protected?,Secure storage prevents intellectual property theft and data breaches,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AI_SECURITY-004,Application Security Review,AI Security,ai_4,Is AI model output validation and sanitization implemented?,Output validation prevents malicious AI-generated content,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AI_SECURITY-005,Application Security Review,AI Security,ai_5,Are AI ethics and bias prevention measures implemented?,Ethical AI prevents discriminatory and harmful automated decisions,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-AWS_SECURITY-001,Cloud Security Review,AWS Cloud Security,aws_iam_1,How is AWS IAM configured with least privilege access principles?,IAM misconfigurations are OWASP Cloud #1 risk,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-AWS_SECURITY-002,Cloud Security Review,AWS Cloud Security,aws_iam_2,Is AWS root account properly secured with MFA and restricted usage?,Root account compromise can lead to complete AWS environment takeover,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-AWS_SECURITY-003,Cloud Security Review,AWS Cloud Security,aws_iam_3,Are AWS access keys rotated regularly and stored securely?,Leaked or stale access keys are common attack vectors,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-AWS_SECURITY-004,Cloud Security Review,AWS Cloud Security,aws_network_1,How are AWS Security Groups and NACLs configured for network security?,Network security controls prevent unauthorized access to AWS resources,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-AWS_SECURITY-005,Cloud Security Review,AWS Cloud Security,aws_network_2,Is AWS VPC properly configured with private subnets and secure routing?,VPC configuration provides network isolation for AWS resources,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-AWS_SECURITY-006,Cloud Security Review,AWS Cloud Security,aws_data_1,How is data encrypted in AWS S3 buckets and other storage services?,Data protection is critical for cloud security compliance,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-AWS_SECURITY-007,Cloud Security Review,AWS Cloud Security,aws_data_2,Are AWS S3 bucket policies configured to prevent public access?,S3 misconfigurations can expose sensitive data publicly,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-AWS_SECURITY-008,Cloud Security Review,AWS Cloud Security,aws_monitoring_1,Is AWS CloudTrail enabled for audit logging and monitoring?,CloudTrail provides audit trails for AWS API calls and activities,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-AZURE_SECURITY-001,Cloud Security Review,Azure Cloud Security,azure_iam_1,How is Azure Active Directory configured with proper RBAC?,Azure AD is the foundation of identity and access management,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-AZURE_SECURITY-002,Cloud Security Review,Azure Cloud Security,azure_iam_2,Is Azure Conditional Access implemented for enhanced security?,Conditional Access provides dynamic access control based on risk,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-AZURE_SECURITY-003,Cloud Security Review,Azure Cloud Security,azure_iam_3,Are Azure service principals properly managed and secured?,Service principals enable secure application authentication in Azure,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-AZURE_SECURITY-004,Cloud Security Review,Azure Cloud Security,azure_network_1,How are Azure Network Security Groups configured?,NSGs provide network-level security for Azure resources,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-AZURE_SECURITY-005,Cloud Security Review,Azure Cloud Security,azure_network_2,Is Azure Virtual Network properly segmented and secured?,VNet segmentation isolates workloads and controls traffic flow,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-AZURE_SECURITY-006,Cloud Security Review,Azure Cloud Security,azure_data_1,How is data encrypted in Azure Storage and databases?,Azure encryption protects data at rest and in transit,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-AZURE_SECURITY-007,Cloud Security Review,Azure Cloud Security,azure_data_2,Is Azure Key Vault used for secrets and key management?,Key Vault provides secure storage for cryptographic keys and secrets,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-AZURE_SECURITY-008,Cloud Security Review,Azure Cloud Security,azure_monitoring_1,Is Azure Security Center/Defender enabled for threat protection?,Azure Defender provides advanced threat protection capabilities,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-GCP_SECURITY-001,Cloud Security Review,GCP Cloud Security,gcp_iam_1,How is GCP IAM configured with least privilege principles?,GCP IAM controls access to all Google Cloud resources,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-GCP_SECURITY-002,Cloud Security Review,GCP Cloud Security,gcp_iam_2,Are GCP service accounts properly managed and secured?,Service accounts enable secure application authentication in GCP,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-GCP_SECURITY-003,Cloud Security Review,GCP Cloud Security,gcp_iam_3,Is GCP Identity-Aware Proxy (IAP) implemented where applicable?,IAP provides zero-trust access to applications and VMs,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-GCP_SECURITY-004,Cloud Security Review,GCP Cloud Security,gcp_network_1,How are GCP firewall rules configured for network security?,Firewall rules control network traffic to GCP resources,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-GCP_SECURITY-005,Cloud Security Review,GCP Cloud Security,gcp_network_2,Is GCP VPC properly configured with private networks?,VPC configuration provides network isolation and security,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-GCP_SECURITY-006,Cloud Security Review,GCP Cloud Security,gcp_data_1,How is data encrypted in GCP Cloud Storage and databases?,GCP encryption protects data using Google-managed or customer-managed keys,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-GCP_SECURITY-007,Cloud Security Review,GCP Cloud Security,gcp_data_2,Is GCP Cloud KMS used for key management?,Cloud KMS provides centralized key management for encryption,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-GCP_SECURITY-008,Cloud Security Review,GCP Cloud Security,gcp_monitoring_1,Is GCP Security Command Center enabled for threat detection?,Security Command Center provides centralized security monitoring,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-DIGITALOCEAN_SECURITY-001,Cloud Security Review,DigitalOcean Cloud Security,do_iam_1,How is DigitalOcean IAM configured with proper access controls?,DigitalOcean IAM controls access to cloud resources and APIs,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-DIGITALOCEAN_SECURITY-002,Cloud Security Review,DigitalOcean Cloud Security,do_network_1,Are DigitalOcean firewall rules properly configured for network security?,Firewall rules control network traffic to DigitalOcean resources,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-DIGITALOCEAN_SECURITY-003,Cloud Security Review,DigitalOcean Cloud Security,do_data_1,Is data encryption implemented for DigitalOcean Spaces and databases?,Data encryption protects sensitive information in DigitalOcean services,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-DIGITALOCEAN_SECURITY-004,Cloud Security Review,DigitalOcean Cloud Security,do_monitoring_1,Is DigitalOcean monitoring and alerting configured for security events?,Security monitoring helps detect and respond to threats,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-IBM_CLOUD_SECURITY-001,Cloud Security Review,IBM Cloud Security,ibm_iam_1,How is IBM Cloud IAM configured with least privilege access?,IBM Cloud IAM controls access to cloud resources and services,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-IBM_CLOUD_SECURITY-002,Cloud Security Review,IBM Cloud Security,ibm_network_1,Are IBM Cloud security groups and network ACLs properly configured?,Network security controls protect IBM Cloud resources,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-IBM_CLOUD_SECURITY-003,Cloud Security Review,IBM Cloud Security,ibm_data_1,Is IBM Cloud Key Protect used for encryption key management?,Key Protect provides centralized encryption key management,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-IBM_CLOUD_SECURITY-004,Cloud Security Review,IBM Cloud Security,ibm_monitoring_1,Is IBM Cloud Security Advisor enabled for threat monitoring?,Security Advisor provides security insights and recommendations,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-ORACLE_CLOUD_SECURITY-001,Cloud Security Review,Oracle Cloud Security,oracle_iam_1,How is Oracle Cloud IAM configured with proper policies?,Oracle Cloud IAM controls access to cloud resources and services,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-ORACLE_CLOUD_SECURITY-002,Cloud Security Review,Oracle Cloud Security,oracle_network_1,Are Oracle Cloud security lists and network security groups configured?,Network security controls protect Oracle Cloud resources,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-ORACLE_CLOUD_SECURITY-003,Cloud Security Review,Oracle Cloud Security,oracle_data_1,Is Oracle Cloud Vault used for encryption key management?,Vault provides centralized encryption key management,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-ORACLE_CLOUD_SECURITY-004,Cloud Security Review,Oracle Cloud Security,oracle_monitoring_1,Is Oracle Cloud Security Monitoring enabled for threat detection?,Security Monitoring provides threat detection and response,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-CLOUD_SERVICES_SECURITY-001,Cloud Security Review,Cloud Services Security,serverless_1,Are serverless functions secured with proper IAM and resource limits?,Serverless security prevents unauthorized access and resource exhaustion,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-CLOUD_SERVICES_SECURITY-002,Cloud Security Review,Cloud Services Security,containers_1,"Are container services (EKS, AKS, GKE) properly secured and configured?",Container security prevents container escape and cluster compromise,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-CLOUD_SERVICES_SECURITY-003,Cloud Security Review,Cloud Services Security,storage_1,"Are cloud storage services (S3, Blob, GCS) properly secured and encrypted?",Storage security prevents data breaches and unauthorized access,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-CLOUD_SERVICES_SECURITY-004,Cloud Security Review,Cloud Services Security,cdn_1,"Are CDN services (CloudFront, Azure CDN) properly configured for security?",CDN security prevents DDoS attacks and content tampering,radio,"yes, na, no",,,Medium,Medium
CLOUD_REVIEW-CLOUD_SERVICES_SECURITY-005,Cloud Security Review,Cloud Services Security,monitoring_1,Are cloud monitoring and logging services properly configured?,Cloud monitoring enables security incident detection and response,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-MONGODB_SECURITY-001,Database Security Review,MongoDB Security,mongo_auth_1,Is authentication enabled and properly configured in MongoDB?,OWASP A07 (Identification and Authentication Failures) - Prevent unauthorized database access,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-MONGODB_SECURITY-002,Database Security Review,MongoDB Security,mongo_auth_2,"Are strong, unique passwords enforced for all MongoDB users?",Weak passwords are a primary attack vector against databases,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-MONGODB_SECURITY-003,Database Security Review,MongoDB Security,mongo_auth_3,Is role-based access control (RBAC) implemented with least privilege principle?,OWASP A01 (Broken Access Control) - Limit user permissions to minimum required,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-MONGODB_SECURITY-004,Database Security Review,MongoDB Security,mongo_network_1,Is network access to MongoDB restricted using IP whitelisting or VPN?,OWASP A05 (Security Misconfiguration) - Prevent unauthorized network access,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-MONGODB_SECURITY-005,Database Security Review,MongoDB Security,mongo_network_2,Is TLS/SSL encryption enabled for all MongoDB connections?,OWASP A02 (Cryptographic Failures) - Protect data in transit,radio,"yes, na, no",,,Medium,Medium
